Customer ID,Recency,Frequency,Monetary,Average_Order_Value,Average_Basket_Size,Unique_Products,Customer_Lifetime,Purchase_Interval,Transactions_Per_Month,Product_Diversity,Churn
12346,326,12,77556.46,6463.038333333334,6190.416666666667,27,401,33.416666666666664,0.8977556109725685,0.00036346503331762805,1
12347,2,8,4921.53,615.19125,370.875,126,403,50.375,0.5955334987593052,0.042467138523761376,0
12348,75,5,2019.4,403.88,542.8,25,363,72.6,0.4132231404958678,0.009211495946941784,0
12349,19,4,4428.69,1107.1725,406.0,138,571,142.75,0.21015761821366022,0.08497536945812807,0
12350,310,1,334.4,334.4,197.0,17,1,1.0,30.0,0.08629441624365482,1
12351,375,1,300.93,300.93,261.0,21,1,1.0,30.0,0.08045977011494253,1
12352,36,10,2849.84,284.98400000000004,72.4,70,357,35.7,0.8403361344537815,0.09668508287292818,0
12353,204,2,406.76,203.38,106.0,23,205,102.5,0.29268292682926833,0.10849056603773585,1
12354,232,1,1079.4,1079.4,530.0,58,1,1.0,30.0,0.10943396226415095,1
12355,214,2,947.61,473.805,271.5,35,354,177.0,0.1694915254237288,0.06445672191528545,1
12356,23,6,6371.73,1061.955,569.3333333333334,104,402,67.0,0.44776119402985076,0.03044496487119438,0
12357,33,3,18287.66,6095.886666666666,2195.6666666666665,261,356,118.66666666666667,0.25280898876404495,0.03962350083497799,0
12358,2,5,3887.07,777.414,215.8,56,731,146.2,0.2051983584131327,0.051899907321594066,0
12359,58,10,8873.39,887.3389999999999,273.9,305,677,67.7,0.4431314623338257,0.1113545089448704,0
12360,52,8,4252.89,531.61125,307.375,160,604,75.5,0.3973509933774835,0.06506710044733631,0
12361,287,4,511.25,127.8125,58.75,18,395,98.75,0.3037974683544304,0.07659574468085106,1
12362,3,11,5356.23,486.92999999999995,202.72727272727272,201,736,66.9090909090909,0.4483695652173913,0.09013452914798206,0
12363,110,2,552.0,276.0,204.0,23,133,66.5,0.45112781954887216,0.056372549019607844,1
12364,8,4,1313.1,328.275,376.5,70,105,26.25,1.1428571428571428,0.04648074369189907,0
12365,291,2,641.38,320.69,87.0,22,1,0.5,60.0,0.12643678160919541,1
12366,634,1,500.24,500.24,296.0,3,1,1.0,30.0,0.010135135135135136,1
12367,4,1,168.9,168.9,173.0,11,1,1.0,30.0,0.06358381502890173,0
12368,628,1,917.6999999999999,917.6999999999999,330.0,18,1,1.0,30.0,0.05454545454545454,1
12369,413,3,1791.15,597.0500000000001,413.6666666666667,90,229,76.33333333333333,0.3930131004366812,0.072522159548751,1
12370,51,7,4316.56,616.6514285714286,372.0,168,618,88.28571428571429,0.3398058252427184,0.06451612903225806,0
12371,45,5,4067.38,813.476,287.2,134,601,120.2,0.24958402662229615,0.09331476323119778,0
12372,72,3,1298.04,432.68,264.6666666666667,34,225,75.0,0.4,0.042821158690176324,0
12373,311,3,1127.65,375.8833333333334,172.0,36,363,121.0,0.24793388429752067,0.06976744186046512,1
12374,25,4,2989.2200000000003,747.3050000000001,340.5,79,564,141.0,0.2127659574468085,0.05800293685756241,0
12375,11,2,457.5,228.75,89.0,14,88,44.0,0.6818181818181819,0.07865168539325842,0
12376,390,2,503.15,251.575,120.0,11,29,14.5,2.0689655172413794,0.04583333333333333,1
